iter	Passed	Remaining
0	1	147
1	2	143
2	4	159
3	6	147
4	7	137
5	8	130
6	10	134
7	11	128
8	12	124
9	13	121
10	14	118
11	17	128
12	20	138
13	21	133
14	22	129
15	24	127
16	25	123
17	26	121
18	27	119
19	29	116
20	30	113
21	31	111
22	32	108
23	34	108
24	35	107
25	36	105
26	38	103
27	39	101
28	40	99
29	41	97
30	42	95
31	44	93
32	45	92
33	46	90
34	47	88
35	49	88
36	51	86
37	52	85
38	53	83
39	54	82
40	56	80
41	57	79
42	58	77
43	59	75
44	60	73
45	61	72
46	63	71
47	64	70
48	65	68
49	66	66
50	68	65
51	69	63
52	70	62
53	71	60
54	72	59
55	74	58
56	75	56
57	76	55
58	78	54
59	79	53
60	80	51
61	82	50
62	83	48
63	84	47
64	85	46
65	86	44
66	87	43
67	89	41
68	90	40
69	91	39
70	93	38
71	94	36
72	95	35
73	97	34
74	98	32
75	99	31
76	100	30
77	102	28
78	103	27
79	104	26
80	105	24
81	106	23
82	108	22
83	110	20
84	111	19
85	112	18
86	113	17
87	114	15
88	116	14
89	117	13
90	118	11
91	120	10
92	121	9
93	123	7
94	125	6
95	127	5
96	128	3
97	130	2
98	131	1
99	132	0
